mode,ngram,nr_cand,diversity,avg_metrics,time
Train,"(1, 2)",2,0.2,0.599375,188.9336702823639
Test,"(1, 2)",2,0.2,0.5875966139124034,62.78632593154907
Train,"(1, 2)",2,0.3,0.6180625,188.26044487953183
Test,"(1, 2)",2,0.3,0.6133603238866396,64.65194177627563
Train,"(1, 2)",2,0.4,0.625,188.6690709590912
Test,"(1, 2)",2,0.4,0.6220095693779905,62.77860164642334
Train,"(1, 2)",2,0.5,0.62025,184.493257522583
Test,"(1, 2)",2,0.5,0.6122561648877438,61.21864652633667
Train,"(1, 2)",2,0.6,0.602125,188.60674786567688
Test,"(1, 2)",2,0.6,0.5960618329039382,64.83181834220886
Train,"(1, 2)",3,0.2,0.599375,188.04542207717896
Test,"(1, 2)",3,0.2,0.5875966139124034,62.49767851829529
Train,"(1, 2)",3,0.3,0.6180625,188.87626767158508
Test,"(1, 2)",3,0.3,0.6133603238866396,64.383780002594
Train,"(1, 2)",3,0.4,0.625,187.76790761947632
Test,"(1, 2)",3,0.4,0.6220095693779905,62.9913055896759
Train,"(1, 2)",3,0.5,0.62025,188.45362210273743
Test,"(1, 2)",3,0.5,0.6122561648877438,63.99122071266174
Train,"(1, 2)",3,0.6,0.602125,187.6185953617096
Test,"(1, 2)",3,0.6,0.5960618329039382,64.96488380432129
Train,"(1, 2)",4,0.2,0.599375,189.85078692436215
Test,"(1, 2)",4,0.2,0.5875966139124034,65.07262754440308
Train,"(1, 2)",4,0.3,0.6180625,185.4308512210846
Test,"(1, 2)",4,0.3,0.6133603238866396,61.16968655586243
Train,"(1, 2)",4,0.4,0.625,186.2120258808136
Test,"(1, 2)",4,0.4,0.6220095693779905,62.437745332717896
Train,"(1, 2)",4,0.5,0.62025,187.51747298240664
Test,"(1, 2)",4,0.5,0.6122561648877438,64.61741662025452
Train,"(1, 2)",4,0.6,0.602125,188.6048853397369
Test,"(1, 2)",4,0.6,0.5960618329039382,63.05848264694214
Train,"(1, 2)",5,0.2,0.599375,187.9995005130768
Test,"(1, 2)",5,0.2,0.5875966139124034,64.14461350440979
Train,"(1, 2)",5,0.3,0.6180625,186.98005294799805
Test,"(1, 2)",5,0.3,0.6133603238866396,62.64134860038757
Train,"(1, 2)",5,0.4,0.625,186.6805317401886
Test,"(1, 2)",5,0.4,0.6220095693779905,64.33500623703003
Train,"(1, 2)",5,0.5,0.62025,186.58658266067505
Test,"(1, 2)",5,0.5,0.6122561648877438,62.83069062232971
